2025-11-24 11:10:59.121 [tick=259437718] [pid=22516] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 11:10:59.124 [tick=259437718] [pid=22516] [INFO] [WorkerHost] pid=22516 | start
2025-11-24 11:10:59.392 [tick=259437984] [pid=22516] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=22516 | fire start
2025-11-24 11:10:59.403 [tick=259438000] [pid=22516] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=22516 | fire sent
2025-11-24 11:11:07.141 [tick=259445734] [pid=10260] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 11:11:07.142 [tick=259445734] [pid=10260] [INFO] [WorkerHost] pid=10260 | start
2025-11-24 11:11:07.404 [tick=259446000] [pid=10260] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=10260 | fire start
2025-11-24 11:11:07.417 [tick=259446015] [pid=10260] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=10260 | fire sent
2025-11-24 14:42:34.203 [tick=3865390] [pid=11864] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:42:34.205 [tick=3865390] [pid=11864] [INFO] [WorkerHost] pid=11864 | start
2025-11-24 14:42:34.475 [tick=3865656] [pid=11864] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=11864 | fire start
2025-11-24 14:42:34.482 [tick=3865671] [pid=11864] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=11864 | fire sent
2025-11-24 14:42:42.191 [tick=3873375] [pid=5828] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:42:42.191 [tick=3873375] [pid=5828] [INFO] [WorkerHost] pid=5828 | start
2025-11-24 14:42:42.457 [tick=3873640] [pid=5828] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=5828 | fire start
2025-11-24 14:42:42.465 [tick=3873656] [pid=5828] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=5828 | fire sent
2025-11-24 14:42:53.400 [tick=3884578] [pid=15288] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:42:53.400 [tick=3884578] [pid=15288] [INFO] [WorkerHost] pid=15288 | start
2025-11-24 14:42:53.656 [tick=3884843] [pid=15288] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=15288 | fire start
2025-11-24 14:42:53.668 [tick=3884859] [pid=15288] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=15288 | fire sent
2025-11-24 14:44:23.738 [tick=3974921] [pid=7148] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:44:23.739 [tick=3974921] [pid=7148] [INFO] [WorkerHost] pid=7148 | start
2025-11-24 14:44:23.996 [tick=3975187] [pid=7148] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=7148 | fire start
2025-11-24 14:44:24.011 [tick=3975203] [pid=7148] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=7148 | fire sent
2025-11-24 14:48:24.190 [tick=4215375] [pid=4456] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:24.190 [tick=4215375] [pid=4456] [INFO] [WorkerHost] pid=4456 | start
2025-11-24 14:48:24.455 [tick=4215640] [pid=4456] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4456 | fire start
2025-11-24 14:48:24.466 [tick=4215656] [pid=4456] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4456 | fire sent
2025-11-24 14:48:24.688 [tick=4215875] [pid=4396] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:24.688 [tick=4215875] [pid=4396] [INFO] [WorkerHost] pid=4396 | start
2025-11-24 14:48:24.956 [tick=4216140] [pid=4396] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4396 | fire start
2025-11-24 14:48:24.965 [tick=4216156] [pid=4396] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4396 | fire sent
2025-11-24 14:48:25.191 [tick=4216375] [pid=4452] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:25.192 [tick=4216375] [pid=4452] [INFO] [WorkerHost] pid=4452 | start
2025-11-24 14:48:25.459 [tick=4216640] [pid=4452] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4452 | fire start
2025-11-24 14:48:25.466 [tick=4216656] [pid=4452] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=4452 | fire sent
2025-11-24 14:48:25.685 [tick=4216875] [pid=2596] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:25.685 [tick=4216875] [pid=2596] [INFO] [WorkerHost] pid=2596 | start
